policy_id,policy_class,applies_to_schema,applies_to_table,policy_text,cadence,owner_role,last_review,next_review,topic_ids,notes
POL-RLS-COMPLIANCE-MIRROR-DENY-ANON,rls,compliance,*,"Every compliance.*_mirror table denies SELECT/INSERT/UPDATE/DELETE for the anon role; service_role only. Prevents accidental exposure of mirror data to public PostgREST clients.",continuous,System Owner,2026-04-30,2026-07-31,topic_policy_register,"Applies to all mirrors: process_list, baseline_organisation, finops_counterparty_register, goipoi_register, adviser_*, founder_filed_instruments, program_registry, topic_registry, persona_registry, channel_touchpoint_registry, sourcing_register, plus I32-new (validation_runs, skill_registry, touchpoint_kit_cell, policy_register, repo_health_snapshot)."
POL-RLS-COMPLIANCE-MIRROR-DENY-AUTH,rls,compliance,*,"Every compliance.*_mirror table denies SELECT/INSERT/UPDATE/DELETE for the authenticated role; service_role only. Prevents authenticated end-users from reading governance data via PostgREST without explicit per-table grant.",continuous,System Owner,2026-04-30,2026-07-31,topic_policy_register,"Same surface as POL-RLS-COMPLIANCE-MIRROR-DENY-ANON. ERP / KiRBe consume mirrors via service_role-scoped sync jobs, not authenticated client reads."
POL-RLS-FINOPS-DENY-ANON,rls,finops,*,"finops.* (e.g., finops.registered_fact) denies anon. Operational facts including amount_minor must not leak via public PostgREST clients.",continuous,Business Controller,2026-04-30,2026-07-31,topic_policy_register,"Initiative 19 Phase 1 ledger pattern. Same posture extends to any future finops.* table."
POL-RLS-FINOPS-DENY-AUTH,rls,finops,*,"finops.* denies authenticated. service_role-only writes; reads via dedicated views with explicit grants.",continuous,Business Controller,2026-04-30,2026-07-31,topic_policy_register,"Initiative 19 Phase 1 contract."
POL-RLS-HOLISTIKA-OPS-LEAD-INTAKE,rls,holistika_ops,lead_intake,"holistika_ops.lead_intake permits anon INSERT (public web form submissions) but denies anon SELECT/UPDATE/DELETE. Captcha columns require server-side verification before write.",continuous,Growth Manager,2026-04-30,2026-07-31,topic_policy_register,"Initiative 14 Phase 3. The single deliberate anon-INSERT exception in the canonical mirror set; backed by captcha + IP/UA columns."
POL-SERVICE-ROLE-ROTATION-QUARTERLY,service_role_rotation,*,*,"All service_role keys rotated quarterly per SOP-HLK_GOIPOI_REGISTER_MAINTENANCE_001 §6.1. Cadence: last business day of each quarter. Old keys revoked within 24h of rotation.",quarterly,System Owner,2026-04-30,2026-06-30,topic_policy_register,"Initiative 26 P2 codified the cadence. Sync jobs (KiRBe ingest, mirror reseed, validation_runs writer) all consume rotated keys."
POL-REDACTION-BRAND-JARGON-EXTERNAL,redaction,*,*,"External-facing prose (dossiers, web, deck slides, cover-emails) must not contain forbidden tokens from BRAND_JARGON_AUDIT.md §4: internal codenames (AKOS, topic_*, plane), stack jargon (RBAC, RLS, pgvector, FDW, kirbe.*), methodology shorthand (KM, MASTER), operator-side process tokens (TODO[OPERATOR-x], dtp_).",on_change,Brand Manager,2026-04-30,2026-07-31,topic_policy_register,"Initiative 27 follow-up. P10 ERP handoff bundle and P9 KiRBe cover-emails enforce this; jargon audit invariants are part of the I32 P14 verification matrix."
POL-PII-GOIPOI-DISPLAY-NAME-OBFUSCATION,pii_scope,compliance,goipoi_register_mirror,"GOI/POI display_name uses obfuscated forms when sensitivity = confidential or internal. Real entity names kept off-repo per redaction SOP. ref_id is the only stable handle for cross-CSV references.",on_change,Compliance,2026-04-30,2026-07-31,topic_policy_register,"Initiative 21 design principle. Validator does not check redaction directly (operator discipline); brand-jargon audit scans external surfaces."
POL-PII-FINOPS-NO-AMOUNTS-IN-GIT,pii_scope,compliance,finops_counterparty_register_mirror,"FINOPS_COUNTERPARTY_REGISTER.csv carries no monetary amounts. Amounts live in finops.* operational tables only (Initiative 19). Git history is amount-free.",continuous,Business Controller,2026-04-30,2026-07-31,topic_policy_register,"PRECEDENCE.md row 31 codifies this. The git-canonical CSV is metadata only; finops.registered_fact is the operational ledger."
POL-PII-LANGUAGE-FRONTMATTER-MANDATORY,pii_scope,*,*,"Every canonical Markdown file in docs/references/hlk/v3.0/ and docs/wip/planning/ declares language: en|es|fr in frontmatter. Audience-canonical exception per D-IH-31-A applies to ES strategy artifacts.",continuous,Brand Manager,2026-04-30,2026-07-31,topic_policy_register,"Initiative 31 P1 codified this. validate_hlk_language_frontmatter.py enforces; 150 files compliant at I31 closure. EN default; ES audience-canonical; FR stub."
POL-RLS-VALIDATION-RUNS-I32,rls,compliance,validation_runs,"I32 P1 operational mirror. Same posture as compliance.*_mirror: deny anon + authenticated; service_role only writes. Append-only history; no UPDATE/DELETE policy granted.",continuous,System Owner,2026-04-30,2026-07-31,topic_policy_register,"D-IH-32-F. Audit trail for validator dispatch runs."
POL-RLS-SKILL-REGISTRY-MIRROR-I32,rls,compliance,skill_registry_mirror,"I32 P2 mirror. Standard compliance.* posture (deny anon + authenticated; service_role only). Tenant_scope column carries 'shared' only until I34 (D-IH-32-J).",continuous,System Owner,2026-04-30,2026-07-31,topic_policy_register,"D-IH-32-B + D-IH-32-J. MADEIRA-SaaS substrate."
POL-RLS-TOUCHPOINT-CELL-MIRROR-I32,rls,compliance,touchpoint_kit_cell_mirror,"I32 P3 mirror. Standard compliance.* posture (deny anon + authenticated; service_role only). FS-vs-CSV drift is enforced canonical-side; mirror is a projection.",continuous,System Owner,2026-04-30,2026-07-31,topic_policy_register,"D-IH-32-C. Closes E2 (touchpoint-kit was filesystem-only)."
POL-RLS-POLICY-REGISTER-MIRROR-I32,rls,compliance,policy_register_mirror,"I32 P4 self-referential mirror. Same posture as other compliance.*_mirror tables. The CSV is SSOT for governance policies; the mirror enables cross-table policy queries.",continuous,Compliance,2026-04-30,2026-07-31,topic_policy_register,"D-IH-32-Q4 recommendation. Self-referential because POLICY_REGISTER's RLS rule is itself a policy_register row."
POL-EVAL-COST-CEILING-MADEIRA-LOOKUP,cost_ceiling,*,*,"SKILL-MADEIRA-LOOKUP-V1: max_usd_per_run=0.005 (cheap-tier model). Hard-fail >20% regression vs 4-week trailing baseline; warn 10-20%. Enforced by scripts/eval.py --enforce.",continuous,Business Controller,2026-05-01,2026-08-01,topic_skill_registry,"I45 P4 + D-IH-45-D + D-IH-45-G. Cost ceiling lives in POLICY_REGISTER (canonical) not eval-baseline JSON (statistical). Threshold = ~5x typical Ollama-local lookup."
POL-EVAL-COST-CEILING-ARCHITECT-PLAN,cost_ceiling,*,*,"SKILL-ARCHITECT-PLAN-V1: max_usd_per_run=0.05 (flagship-tier model; multi-step planning). Hard-fail >20% regression; warn 10-20%.",continuous,Business Controller,2026-05-01,2026-08-01,topic_skill_registry,"I45 P4. Higher ceiling reflects plan-document depth + multi-turn architect-mode usage."
POL-EVAL-COST-CEILING-EXECUTOR-RUN,cost_ceiling,*,*,"SKILL-EXECUTOR-RUN-V1: max_usd_per_run=0.10 (flagship tier; tool-heavy execution). Hard-fail >20% regression; warn 10-20%.",continuous,Business Controller,2026-05-01,2026-08-01,topic_skill_registry,"I45 P4. Highest ceiling: execution may invoke many tool calls per run."
POL-EVAL-COST-CEILING-VERIFIER-CHECK,cost_ceiling,*,*,"SKILL-VERIFIER-CHECK-V1: max_usd_per_run=0.02 (mid-tier; deterministic checks). Hard-fail >20% regression; warn 10-20%.",continuous,Business Controller,2026-05-01,2026-08-01,topic_skill_registry,"I45 P4. Verifier is mostly deterministic but may LLM-summarize failure clusters."
POL-EVAL-COST-CEILING-SHARED-LOCALE-DETECT,cost_ceiling,*,*,"SKILL-SHARED-LOCALE-DETECT-V1: max_usd_per_run=0.0 (rule-based; no LLM). Any non-zero cost is a regression.",continuous,Brand Manager,2026-05-01,2026-08-01,topic_skill_registry,"I45 P4. Locale detect is rule-based per SOP-HLK_LOCALISATION_001.md; cost should remain zero. Detects accidental LLM substitution."
POL-EVAL-ADVERSARIAL-FLOOR,adversarial_floor,*,*,"All skills must pass the I45 P5 adversarial cassette suite (>=12 probes covering prompt injection + brand jargon + PII). Cassettes live under tests/evals/cassettes/adversarial/<skill_id>/. Hard-fail CI on any FAIL row from `py scripts/eval.py --mode adversarial`. Ties to alerts.json: madeira_internal_tool_leak, madeira_pseudo_hlk_path_leak, madeira_suspect_uuid_hallucination.",continuous,System Owner,2026-05-01,2026-08-01,topic_skill_registry,"I45 P5 + D-IH-45-E. Closes E4 (alerts.json un-exercised). Synthetic data only per R-45-4; PII linter scripts/lint_cassette_pii.py runs in pre_commit."
POL-EVAL-PROMOTION-GATE,promotion_gate,*,*,"Skill cannot move from tenant_scope='shared' to a tenant-specific scope without all 4 graduation criteria green: (1) Tier A live run PASS, (2) >=1 Tier B PASS within 14d (queried from compliance.eval_run), (3) >=1 adversarial cassette PASS, (4) non-empty routing_condition in SKILL_REGISTRY row. Enforced by `py scripts/eval.py promote --skill <id>`. Operator override via --override --reason '<text>' writes audit row to compliance.eval_run + reviewed at next quarterly ops review.",continuous,System Owner,2026-05-01,2026-08-01,topic_skill_registry,"I45 P7 + D-IH-45-F + R-45-9. Aligned with Initiative 34 multi-tenant prep: tenant promotions are the highest-stakes governance change in the multi-agent system."
POL-NEO4J-GRAPH-RAG-ELIGIBILITY-TEMPLATE,graph_rag_eligibility,*,*,"TEMPLATE row (I46 P5). When P3 PoC ships, operator clones this row per topic_class with explicit eligibility decision. Default: NO topic_class is graph_rag-eligible until explicit per-class policy exists. Each per-class row sets the SKILL_REGISTRY.retrieval_mode value the router honours when intent maps to that topic_class. Cross-references NEO4J_STRATEGY.md use-case B + the I46 P3 ship-or-no-ship decision in decision-log.",continuous,System Owner,2026-05-01,2026-08-01,topic_holistik_ops_discovery,"I46 P5 + D-IH-46-E + D-IH-46-A. Template-only; not policy-active until the operator clones it for at least one topic_class with PoC numbers attached."
POL-EVAL-JUDGE-THRESHOLD-BRAND-VOICE-V1,judge_threshold,*,*,"LLM-as-judge brand-voice-fidelity axis pass threshold: min_pass_score=4 (1-5 scale). Scenarios scoring <4 on brand_voice axis are marked FAIL by akos.eval_harness.judge. Threshold tunable per quarterly review of brand-voice cassette outputs. Cross-references BRAND_VOICE_FOUNDATION.md + BRAND_JARGON_AUDIT.md.",continuous,Brand Manager,2026-05-02,2026-08-02,topic_persona_scenario_registry,"I47 P12 + D-IH-47-J. Default threshold per RICE B baseline; operator may raise to 5 for Tier B regression discipline."
POL-EVAL-JUDGE-THRESHOLD-CITATION-V1,judge_threshold,*,*,"LLM-as-judge citation-discipline axis pass threshold: min_pass_score=4 (1-5 scale). Scenarios scoring <4 on citation axis are marked FAIL by akos.eval_harness.judge. Tests that every claim cites a canonical path under docs/references/hlk/ or a registry/policy ID (POL-/SKILL-/PERSONA-/etc).",continuous,System Owner,2026-05-02,2026-08-02,topic_persona_scenario_registry,"I47 P12 + D-IH-47-J. Citation discipline is the highest-leverage axis since it gates hallucination at the source-pinning level."
POL-EVAL-JUDGE-THRESHOLD-PERSONA-FIT-V1,judge_threshold,*,*,"LLM-as-judge persona-fit axis pass threshold: min_pass_score=4 (1-5 scale). Scenarios scoring <4 on persona_fit axis are marked FAIL by akos.eval_harness.judge. Tests that response register matches persona's typical_languages + typical_distance_band per PERSONA_REGISTRY.csv. Specifically: cold personas should escalate; warm-bridge personas should acknowledge bridge person by name.",continuous,System Owner,2026-05-02,2026-08-02,topic_persona_scenario_registry,"I47 P12 + D-IH-47-J. Persona-fit threshold respects R-47-2 calibration subjectivity; operator may relax to 3 for Tier-3 personas where shorter scenario coverage limits training data."
