contract_id,producer_process_id,producer_area,consumer_area_ids,data_surface,schema_ref,semantics_ref,sla_freshness,sla_availability,quality_rules,classification,retention_policy_ref,version,status,owner_role,last_review_at,last_review_by,last_review_decision_id,methodology_version_at_review,notes,economic_value_class,carrying_cost_band,monetization_status
DC-HOL-COMPLIANCE-MIRROR-CSV-001,hol_peopl_talent_h_capability_confidence_001,People,People;Tech,canonical_csv,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/dimensions/CAPABILITY_REGISTRY.csv,Git-canonical SSOT for capability registry (1112 rows); Capability Curator stewardship cadence.,quarterly,99.9%,DATA-01;DATA-05;DATA-07,internal,,1.0.0,active,Capability Curator,2026-06-04,Data Governance Office,D-IH-93-D,v3.1,DATA-FAM-COMPLIANCE-MIRROR canonical_csv surface; business producer is People capability review not DataOps.,risk_reduced,medium,indirect
DC-HOL-COMPLIANCE-MIRROR-001,env_tech_dtp_dataops_quality_001,Tech,People;Tech,mirror_table,compliance.capability_registry_mirror,Mirror targets for OPS-86-15 gap CSVs (AIC AUDIENCE CAPABILITY CAPABILITY_CONFIDENCE COUNTRY_WORK_CALENDAR); DataOps DATA-02 parity after DDL+emit+apply.,24h,99.5%,DATA-01;DATA-02,internal,,1.0.0,active,Data Steward,2026-06-05,Data Governance Office,D-IH-93-F,v3.1,DDL 20260604120000_i93_p6_ops8615_mirror_gap_closure.sql; DML emit ops8615_mirror_emit; apply per D-GTM-DB-6 holistika-mirror-dml-apply.md (linked CLI batches).,rework_avoided,high,indirect
DC-HOL-SUEZ-ENG-FACT-001,tbi_peopl_dtp_engagement_model_classification_001,People,Operations;People,mirror_table,compliance.engagement_registry_mirror,SUEZ x WeBuy (eng_2026_suez_webuy / canonical ENG-SUEZ-WEBUY-2026); Websitz Shopify (eng_2026_websitz_shopify / ENG-WEBSITZ-SHOPIFY-2026).,4h,99.0%,DATA-01;DATA-07,internal,,1.0.0,active,People Operations Manager,2026-06-05,Data Governance Office,D-IH-93-E,v3.1,DATA-FAM-ENGAGEMENT-FACT; P7 canonical_engagement_code column on ENGAGEMENT_REGISTRY.csv.,revenue_enabled,medium,direct
DC-HOL-CANONICAL-CSV-SSOT-001,hol_data_dtp_datafam_canonical_csv_001,Data,People;Tech,canonical_csv,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/PRECEDENCE.md,Git-canonical compliance dimensions; validate_hlk.py at mint cadence.,quarterly,99.9%,DATA-01;DATA-05;DATA-07,internal,,1.0.0,active,Data Governance Office,2026-06-05,Data Governance Office,D-IH-93-F,v3.1,DATA-FAM-CANONICAL-CSV umbrella; producer is hol_data_dtp_datafam_canonical_csv_001.,risk_reduced,low,indirect
DC-HOL-TELEMETRY-OBS-001,hol_data_dtp_datafam_telemetry_obs_001,Data,Tech,canonical_csv,docs/references/hlk/v3.0/Admin/O5-1/Tech/System Owner/canonicals/SOP-TECH_SYSTEM_RELIABILITY_001.md,TechOps reliability + Langfuse/Sentry/eval harness observability per DATA_FAM_PROBE_PROFILES TELEMETRY-OBS.,1h,99.0%,DATA-04;DATA-07,internal,,1.0.0,active,Data Governance Office,2026-06-05,Data Governance Office,D-IH-93-F,v3.1,DATA-FAM-TELEMETRY-OBS; runbook techops_reliability_check.py at tranche.,opex_only,medium,not_applicable
DC-HOL-KM-TOPIC-001,hol_data_dtp_datafam_km_topic_001,Data,Research;Tech,graph,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/HLK_KM_TOPIC_FACT_SOURCE.md,KM topic manifests + Neo4j projection; coordinate I91 graph coverage.,24h,99.0%,DATA-06,internal,,1.0.0,active,Data Governance Office,2026-06-05,Data Governance Office,D-IH-93-F,v3.1,DATA-FAM-KM-TOPIC; graph surface per DATA_CONTRACT_STANDARD graph enum.,revenue_enabled,high,deferred
DC-HOL-AIC-RUNTIME-001,hol_data_dtp_datafam_aic_runtime_001,Data,Tech,canonical_csv,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/dimensions/AIC_REGISTRY.csv,AIC_REGISTRY + MADEIRA persistence vehicles; runtime config invariants.,4h,99.5%,DATA-06;DATA-07,internal,,1.0.0,active,System Owner,2026-06-05,System Owner,D-IH-93-F,v3.1,DATA-FAM-AIC-RUNTIME umbrella process.,rework_avoided,high,indirect
DC-HOL-GTM-CRM-001,thi_finan_dtp_308,Finance,Finance;Operations,fdw_projection,stripe_gtm (stripe_gtm_server FDW),Holistika Stripe wrappers FDW read plane; foreign tables under schema stripe_gtm per I18 runbook.,1h,99.0%,DATA-03;DATA-04,internal,,1.0.0,active,Business Controller,2026-06-04,Data Governance Office,D-IH-93-D,v3.1,DATA-FAM-GTM-CRM seed; SLA driver=operational; runbook docs/wip/planning/18-hlk-finops-counterparty-stripe/reports/stripe-fdw-operator-runbook.md.,revenue_enabled,medium,direct
DC-HOL-SUEZ-LIBELLE-STAGING-001,hol_data_dtp_engagement_integration_scaffold_001,Data,Operations;People,mirror_table,engagement.suez_libelle_staging,SUEZ libellé generator staging surface for Stream B Edge path; pairs SOP-DATA_SUEZ_LIBELLE_001 (Edge parallel + MS Phase 1).,4h,99.0%,DATA-01;DATA-07,internal,,1.0.0,active,Data Governance Office,2026-06-04,Data Governance Office,D-IH-93-I,v3.1,Stream B forward declaration; DDL forward-charter; anti-SUEZ-pain scaffold contract.,revenue_enabled,medium,deferred
DC-HOL-FINOPS-REGISTERED-FACT-001,thi_finan_dtp_303,Finance,Operations;Data,mirror_table,finops.registered_fact,Monetary facts spine (Initiative 19); producer stewardship via counterparty register process until dedicated writer process row at F3.,24h,99.0%,DATA-01;DATA-04;DATA-07,confidential,,1.0.0,active,Business Controller,2026-06-05,Business Controller,D-IH-88-E,v3.1,FIN-05 contract; entity gate thi_finan_dtp_306 before production amounts in git.,revenue_enabled,high,direct
DC-HOL-LEGAL-FINOPS-INSTRUMENT-001,thi_legal_dtp_304,Legal,Finance,canonical_csv,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/advops/FILED_INSTRUMENTS.csv,Filed instruments register; Finance consumes for counterparty and entity readiness joins via finops_counterparty_id convention.,quarterly,99.5%,DATA-01;DATA-05,internal,,1.0.0,active,Legal Counsel,2026-06-05,Business Controller,D-IH-88-E,v3.1,Cross-area join spine; mirror compliance.filed_instruments_mirror at F3.,risk_reduced,low,indirect
DC-HOL-PEOPLE-FINOPS-PAYOUT-001,tbi_peopl_dtp_percentage_collaborator_payout_001,People,Finance,mirror_table,finops.registered_fact,Percentage collaborator payout facts on deal close per collaborator-share discipline.,4h,99.0%,DATA-01;DATA-07,internal,,1.0.0,active,People Operations Manager,2026-06-05,Business Controller,D-IH-88-E,v3.1,Engagement fact consumer; pairs peopl_engagement_percentage_payout.py runbook.,revenue_enabled,medium,direct
DC-HOL-MKT-FINOPS-CAPEX-001,thi_finan_dtp_272,Finance,Marketing;Finance,canonical_csv,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/process_list.csv,Campaign spend to capex-owning finance role; budget allocation grain for paid media.,monthly,99.0%,DATA-01;DATA-05,internal,,1.0.0,active,Business Controller,2026-06-05,Business Controller,D-IH-88-E,v3.1,Capex alignment process; METRICS_REGISTRY join forward-chartered at F4.,opex_only,low,indirect
DC-HOL-REVOPS-FINOPS-ENGAGEMENT-001,thi_finan_dtp_271,Finance,Operations;Finance,mirror_table,finops.registered_fact,BID lead-to-contract revenue chain; RevOps engagement spine to booking and recognition handoff.,4h,99.0%,DATA-01;DATA-07,internal,,1.0.0,active,Business Controller,2026-06-05,Business Controller,D-IH-88-E,v3.1,EXT-09 RevOps-Finance alignment; pairs SOP-FINOPS_BRIDGE_001 via RevOps adapter registry.,revenue_enabled,medium,direct
DC-HOL-LAB-PLATFORM-ENV-001,env_tech_dtp_techops_reliability_001,Tech,Research;Operations;Tech,canonical_csv,docs/references/hlk/v3.0/Admin/O5-1/Tech/System Owner/canonicals/SOP-TECH_LAB_PLATFORM_BINDING_001.md,Lab hosting env semantics: secret vs runtime gate vs build-time flag; probe-first investigation; FK COMPONENT_SERVICE_MATRIX + consumer registries (SUPABASE_AUTH SUPA-AUTH-16). SSOT anchor per LOGIC_CHANGE_LOG BT-10-lab-governed-ssot.,on_change,99.5%,DATA-06;DATA-07,internal,,1.0.0,active,System Owner,2026-06-14,System Owner,D-IH-99-A,v3.1,Worked example 2026-06-14 Preview Sensitive toggle on ALLOW gate; not password RCA. Initiative evidence stays under docs/wip/planning/ only.,rework_avoided,medium,indirect
DC-HOL-EVIDENCE-CLASS-REGISTRY-001,ops_pmo_dtp_evidence_class_gate_001,Operations,Operations;People;Research;Tech,canonical_csv,docs/references/hlk/v3.0/Admin/O5-1/Data/Governance/canonicals/dimensions/EVIDENCE_CLASS_REGISTRY.csv,Proof-class bindings for completion claims (ECB rows); federated SSOT under Data path; PMO business owner per singularity ratification 2026-06-14.,on_change,99.9%,DATA-01;DATA-05;DATA-06,internal,,1.0.0,active,PMO,2026-06-14,Data Governance Office,D-IH-90-AF,v3.2,Pairs EVIDENCE_CLASS_GATE_DISCIPLINE + validate_evidence_class_registry.py.,risk_reduced,low,indirect
DC-HOL-PROOF-ADAPTER-REGISTRY-001,ops_pmo_dtp_evidence_class_gate_001,Operations,Operations;People;Marketing;Tech,canonical_csv,docs/references/hlk/v3.0/Admin/O5-1/Data/Governance/canonicals/dimensions/PROOF_ADAPTER_REGISTRY.csv,Extensible proof adapters (Playwright Lighthouse Hotjar deploy-health HLK); charter INFO ramp for PAD-002/003.,on_change,99.9%,DATA-01;DATA-05;DATA-06,internal,,1.0.0,active,PMO,2026-06-14,Data Governance Office,D-IH-90-AF,v3.2,Hotjar requires DATA_PRIVACY_RETENTION_POLICY gate before production.,risk_reduced,low,indirect
DC-HOL-SOURCE-LEDGER-001,hol_resea_dtp_research_action_001,Research,Research;Operations;People,canonical_csv,docs/references/hlk/v3.0/Research/Methodology/canonicals/RESEARCH_ACTION_DISCIPLINE.md,15-field source-ledger.csv per research pack; RA-EC-01/02 anti-padding; wip intelligence forge.,on_demand,99.0%,DATA-01;DATA-07,internal,,1.0.0,active,Lead Researcher,2026-06-14,Data Governance Office,D-IH-90-AF,v3.2,Producer is research action loop; Operations sweep cross-checks at govern.,rework_avoided,medium,indirect
DC-HOL-EVIDENCE-ARTIFACT-BUNDLE-001,ops_pmo_dtp_evidence_class_gate_001,Operations,Operations;People;Tech,canonical_csv,docs/references/hlk/v3.0/Admin/O5-1/Operations/PMO/canonicals/SOP-PMO_EVIDENCE_CLASS_GATE_001.md,Git-adjacent proof bundles: artifacts/evidence-gate/** uat-sweep JSON; artifacts/uat-screenshots/** MANIFEST; artifacts/ux-audit/**; artifacts/deploy-health/** — declared paths not mirrors.,wave-close,99.0%,DATA-06;DATA-07,internal,POL-DATA-GIT-CSV-DEFAULT,1.0.0,active,PMO,2026-06-14,Data Governance Office,D-IH-90-AF,v3.2,T1-adjacent artifacts; semantics_ref lists glob patterns from ECB proof_path_pattern.,risk_reduced,low,indirect
DC-HOL-LAB-PLATFORM-DIMENSION-001,env_tech_dtp_techops_reliability_001,Tech,Research;Operations;Tech,canonical_csv,docs/references/hlk/v3.0/Admin/O5-1/Tech/System Owner/canonicals/dimensions/LAB_PLATFORM_DIMENSION_REGISTRY.csv,I100 harmonized lab dimension lexicon (module/setting/surface/posture); charter seeds; Wave-1/2 CSVs alias one release cycle.,on_change,99.5%,DATA-01;DATA-06;DATA-07,internal,,1.0.0,draft,System Owner,2026-06-14,Data Governance Office,D-IH-100-I,v3.2,Consolidation tranche scheduled; DGO owns vocabulary Tech executes probes.,rework_avoided,medium,indirect
DC-HOL-SUBSTRATE-ADAPTER-001,env_tech_dtp_openclaw_runtime_health_triage_001,Tech,Research;Operations;Tech,canonical_csv,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/dimensions/SUBSTRATE_REGISTRY.csv,SUBSTRATE adapter migrations + OpenClaw gateway health contract per AGENTIC_FRAMEWORK_LANDSCAPE.md and SOP-OPENCLAW_RUNTIME_HEALTH_TRIAGE_001 §4.6.,on_change,99.5%,DATA-01;DATA-06;DATA-07,internal,,1.0.0,active,System Owner,2026-06-15,Data Governance Office,D-IH-76-MINT,v3.2,Normalize path; repair runbook scripts/openclaw_gateway_repair.py; --check-only post-reboot; grace windows; OPS escalation slug gateway-cold-start. Pairs PROOF_ADAPTER PAD-006 PAD-007.,rework_avoided,medium,indirect
