repo_slug,github_url,class,primary_owner_role,topic_ids,vault_doc_root,api_spec_pointer,api_topic_id,lifecycle_status,notes,consumes_compliance_types,consumes_mirrors,local_path,last_review_at,last_review_by,last_review_decision_id,methodology_version_at_review,app_class,metadata_tags,github_topics,github_visibility,primary_language,created_at,pushed_at,last_inventory_at,governance_status,related_initiative_ids,codeowners_present,branch_protection_enabled
kirbe-platform,https://github.com/FraysaXII/kirbe,platform,System Owner,topic_kirbe_billing_plane_routing;topic_holistik_ops_discovery,docs/references/hlk/v3.0/Envoy Tech Lab/KiRBe/,docs/api_reference.md,—,active,KiRBe application repository (operator-confirmed 2026-04-15). Production API https://kirbe.holistikaresearch.com (Render+Cloudflare). Routing SSOT Envoy Tech Lab/Repositories/KIRBE_ROUTING_AND_HOSTING.md (D-IH-90-X 2026-06-01). v1.2: 7 connectors hybrid search audit logging Stripe billing per-tenant usage metering. Tracked by REPO_HEALTH_SNAPSHOT (I32 P7).,yes,SOURCING_REGISTRY;POLICY_REGISTRY,root_cd/kirbe,2026-06-01,System Owner,D-IH-90-X,v3.1,production,,,PRIVATE,PLpgSQL,,2026-05-07,2026-05-19,governed,I86;I90,,
openclaw-akos,https://github.com/FraysaXII/openclaw-akos,platform,AI Engineer,topic_madeira_platform;topic_holistik_ops_discovery,docs/references/hlk/v3.0/,docs/references/hlk/v3.0/,—,active,Canonical remote from git remote get-url origin on the AKOS workspace (2026-04-15). I59 P1.1 promotes the markdown index to this CSV-backed dimension.,no,,cd_shadow/openclaw-akos,2026-05-14,AI Engineer,D-IH-71-CLOSURE,v3.0,production,,,PUBLIC,Python,,2026-05-19,2026-05-19,governed,I86,,
akos-telemetry-ci,https://github.com/FraysaXII/openclaw-akos,internal,System Owner,—,—,—,—,active,Same monorepo remote as openclaw-akos; internal class tags Langfuse log-watcher drift automation evidence (no second code tree).,no,,,2026-05-14,System Owner,D-IH-71-CLOSURE,v3.0,production,,,PUBLIC,Python,,2026-05-19,2026-05-19,governed,I86,,
hlk-erp,https://github.com/FraysaXII/hlk-erp,platform,System Owner,topic_holistik_ops_discovery,—,—,—,active,Initiative 32 P7 registration (D-IH-32-K). Holistika ERP shell — internal operator UI for process registry organization components sales overview. Stack: Next.js 14 + React + shadcn/ui + Tailwind + Supabase Auth + FastAPI.,yes,PERSONA_REGISTRY;CHANNEL_REGISTRY;SOURCING_REGISTRY;SKILL_REGISTRY;POLICY_REGISTRY;PROGRAM_REGISTRY;TOPIC_REGISTRY;FOUNDER_FILED_INSTRUMENTS;FINOPS_COUNTERPARTY;COMPONENT_SERVICE_MATRIX;baseline_organisation;process_list;DECISION_REGISTER;OPS_REGISTER;INITIATIVE_REGISTRY;CYCLE_REGISTER,root_cd/hlk-erp,2026-05-14,System Owner,D-IH-71-CLOSURE,v3.0,production,,,PRIVATE,Markdown,,2026-05-18,2026-05-19,governed,I86,,
boilerplate,https://github.com/FraysaXII/boilerplate,reference,Brand & Narrative Manager,topic_brand_visual_identity,—,—,—,reference,Initiative 32 P11 registration (D-IH-32-N). Marketing/web boilerplate. Carries Holistika brand assets. Reference-only per D-IH-32-N: no SSOT obligation no .cursor/rules/ to seed with akos-mirror.mdc; only the EXTERNAL_REPO_CONTRACT.md is shipped (light-touch). Owner role renamed Brand Manager -> Brand & Narrative Manager 2026-05-15 per D-IH-72-AO regression-amend.,no,,root_cd/boilerplate,2026-05-15,Brand & Narrative Manager,D-IH-72-AO,v3.0,production,,,PRIVATE,TypeScript,,2026-05-09,2026-05-19,governed,I86,,
v0-efa-slim-crowdfunding-page,https://github.com/FraysaXII/v0-efa-slim-crowdfunding-page,internal,AI Engineer,,,—,—,active,v0-generated crowdfunding spike.,no,,,2026-05-19,AI Engineer,D-IH-86-AC,v3.1,experiment,,,PRIVATE,TypeScript,,2026-04-15,2026-05-19,inventoried,I86,,
kirbe-frontend,https://github.com/FraysaXII/kirbe-frontend,internal,System Owner,,,—,—,active,KiRBe-adjacent frontend experiment.,no,,,2026-05-19,System Owner,D-IH-86-AC,v3.1,experiment,,,PRIVATE,TypeScript,,2026-04-14,2026-05-19,inventoried,I86,,
system-prompts-and-models-of-ai-tools,https://github.com/FraysaXII/system-prompts-and-models-of-ai-tools,reference,AI Engineer,,,—,—,reference,Tracked upstream fork (no AKOS contract beyond inventory).,no,,,2026-05-19,AI Engineer,D-IH-86-AC,v3.1,fork,,,PUBLIC,,,2026-03-05,2026-05-19,inventoried,I86,,
tradingagents,https://github.com/FraysaXII/TradingAgents,reference,AI Engineer,,,—,—,reference,Tracked upstream fork (TradingAgents).,no,,,2026-05-19,AI Engineer,D-IH-86-AC,v3.1,fork,,,PUBLIC,Python,,2026-02-25,2026-05-19,inventoried,I86,,
visiongen,https://github.com/FraysaXII/visiongen,internal,AI Engineer,,,—,—,active,AKOS-internal research output.,no,,,2026-05-19,AI Engineer,D-IH-86-AC,v3.1,research,,,PUBLIC,Python,,2025-06-30,2026-05-19,inventoried,I86,,
gemini-fastapi-rag-pydantic,https://github.com/FraysaXII/gemini_fastapi_RAG_Pydantic,internal,AI Engineer,,,—,—,active,RAG + Pydantic + FastAPI research spike.,no,,,2026-05-19,AI Engineer,D-IH-86-AC,v3.1,research,,,PUBLIC,Python,,2025-05-11,2026-05-19,inventoried,I86,,
sop-shield-scribe,https://github.com/FraysaXII/sop-shield-scribe,internal,System Owner,,,—,—,active,SOP-tooling experiment.,no,,,2026-05-19,System Owner,D-IH-86-AC,v3.1,experiment,,,PRIVATE,TypeScript,,2025-05-09,2026-05-19,inventoried,I86,,
hlk-erp-design,https://github.com/FraysaXII/hlk-erp-design,internal,System Owner,,,—,—,active,HLK ERP design exploration artifact.,no,,,2026-05-19,System Owner,D-IH-86-AC,v3.1,experiment,,,PUBLIC,,,2025-03-23,2026-05-19,inventoried,I86,,
nextjs-fastapi-supabase-vercel,https://github.com/FraysaXII/nextjs-fastapi-supabase-vercel,reference,System Owner,,,—,—,reference,Boilerplate template (Next.js + FastAPI + Supabase + Vercel).,no,,,2026-05-19,System Owner,D-IH-86-AC,v3.1,template,,,PRIVATE,TypeScript,,2025-03-12,2026-05-19,inventoried,I86,,
obsidian-reader,https://github.com/FraysaXII/obsidian-reader,internal,AI Engineer,,,—,—,active,Obsidian-vault reader experiment.,no,,,2026-05-19,AI Engineer,D-IH-86-AC,v3.1,experiment,,,PRIVATE,Python,,2025-02-17,2026-05-19,inventoried,I86,,
holistika-website,https://github.com/FraysaXII/holistika-website,internal,Brand & Narrative Manager,,,—,—,active,Predecessor of boilerplate marketing site.,no,,,2026-05-19,Brand & Narrative Manager,D-IH-86-AC,v3.1,experiment,,,PRIVATE,TypeScript,,2025-01-14,2026-05-19,inventoried,I86,,
holistika-web,https://github.com/FraysaXII/holistika-web,internal,Brand & Narrative Manager,,,—,—,archived,Earlier holistika-web iteration; superseded by boilerplate.,no,,,2026-05-19,Brand & Narrative Manager,D-IH-86-AC,v3.1,experiment,,,PRIVATE,,,2024-10-01,2026-05-19,inventoried,I86,,
floating-endpoints,https://github.com/FraysaXII/floating-endpoints,internal,AI Engineer,,,—,—,archived,Floating endpoints experiment.,no,,,2026-05-19,AI Engineer,D-IH-86-AC,v3.1,experiment,,,PRIVATE,TypeScript,,2024-09-26,2026-05-19,inventoried,I86,,
open-source-ai-artifacts,https://github.com/FraysaXII/open-source-ai-artifacts,internal,AI Engineer,,,—,—,archived,OSS AI artifacts collection.,no,,,2026-05-19,AI Engineer,D-IH-86-AC,v3.1,experiment,,,PRIVATE,TypeScript,,2024-08-11,2026-05-19,inventoried,I86,,
obsidian-holistika,https://github.com/FraysaXII/obsidian-holistika,internal,AI Engineer,,,—,—,archived,Obsidian-vault Holistika experiment.,no,,,2026-05-19,AI Engineer,D-IH-86-AC,v3.1,experiment,,,PRIVATE,,,2024-08-08,2026-05-19,inventoried,I86,,
function-call,https://github.com/FraysaXII/function-call,internal,AI Engineer,,,—,—,archived,Function-calling research notebook.,no,,,2026-05-19,AI Engineer,D-IH-86-AC,v3.1,research,,,PRIVATE,Jupyter,,2024-08-01,2026-05-19,inventoried,I86,,
hlk-vercel-payload,https://github.com/FraysaXII/hlk-vercel-payload,internal,System Owner,,,—,—,archived,Vercel Payload integration experiment (HLK fork).,no,,,2026-05-19,System Owner,D-IH-86-AC,v3.1,experiment,,,PRIVATE,TypeScript,,2024-07-13,2026-05-19,inventoried,I86,,
vercel-payload,https://github.com/FraysaXII/vercel-payload,internal,System Owner,,,—,—,archived,Vercel Payload integration experiment.,no,,,2026-05-19,System Owner,D-IH-86-AC,v3.1,experiment,,,PRIVATE,TypeScript,,2024-07-13,2026-05-19,inventoried,I86,,
e-commerce2,https://github.com/FraysaXII/e-commerce2,internal,System Owner,,,—,—,archived,E-commerce v2 experiment.,no,,,2026-05-19,System Owner,D-IH-86-AC,v3.1,experiment,,,PRIVATE,,,2024-07-12,2026-05-19,inventoried,I86,,
e-commerce,https://github.com/FraysaXII/e-commerce,internal,System Owner,,,—,—,archived,E-commerce v1 experiment.,no,,,2026-05-19,System Owner,D-IH-86-AC,v3.1,experiment,,,PRIVATE,,,2024-07-12,2026-05-19,inventoried,I86,,
boilerplate-2,https://github.com/FraysaXII/boilerplate-2,internal,System Owner,,,—,—,archived,Boilerplate v2 experiment.,no,,,2026-05-19,System Owner,D-IH-86-AC,v3.1,experiment,,,PRIVATE,TypeScript,,2024-06-22,2026-05-19,inventoried,I86,,
nextjs-supabase-kit,https://github.com/FraysaXII/nextjs-supabase-kit,reference,System Owner,,,—,—,reference,Next.js + Supabase boilerplate template.,no,,,2026-05-19,System Owner,D-IH-86-AC,v3.1,template,,,PRIVATE,TypeScript,,2024-06-18,2026-05-19,inventoried,I86,,
assemblyai,https://github.com/FraysaXII/assemblyai,internal,AI Engineer,,,—,—,archived,AssemblyAI research notebook.,no,,,2026-05-19,AI Engineer,D-IH-86-AC,v3.1,research,,,PRIVATE,Jupyter,,2024-06-17,2026-05-19,inventoried,I86,,
dalle3api,https://github.com/FraysaXII/dalle3api,internal,AI Engineer,,,—,—,archived,DALL-E 3 API research experiment.,no,,,2026-05-19,AI Engineer,D-IH-86-AC,v3.1,research,,,PRIVATE,Python,,2024-06-13,2026-05-19,inventoried,I86,,
hkassistant,https://github.com/FraysaXII/hkassistant,internal,AI Engineer,,,—,—,archived,HK assistant experiment.,no,,,2026-05-19,AI Engineer,D-IH-86-AC,v3.1,experiment,,,PRIVATE,Python,,2024-06-12,2026-05-19,inventoried,I86,,
nextjs-with-supabase,https://github.com/FraysaXII/nextjs-with-supabase,reference,System Owner,,,—,—,reference,Next.js + Supabase boilerplate template.,no,,,2026-05-19,System Owner,D-IH-86-AC,v3.1,template,,,PRIVATE,TypeScript,,2024-05-22,2026-05-19,inventoried,I86,,
nextjs-enterprise-boilerplate,https://github.com/FraysaXII/nextjs-enterprise-boilerplate,reference,System Owner,,,—,—,reference,Enterprise Next.js boilerplate template.,no,,,2026-05-19,System Owner,D-IH-86-AC,v3.1,template,,,PRIVATE,TypeScript,,2024-05-22,2026-05-19,inventoried,I86,,
app-directory,https://github.com/FraysaXII/app-directory,internal,System Owner,,,—,—,archived,App-directory experiment.,no,,,2026-05-19,System Owner,D-IH-86-AC,v3.1,experiment,,,PRIVATE,TypeScript,,2024-05-22,2026-05-19,inventoried,I86,,
supabase,https://github.com/FraysaXII/supabase,reference,System Owner,,,—,—,reference,Tracked upstream fork of supabase/supabase.,no,,,2026-05-19,System Owner,D-IH-86-AC,v3.1,fork,,,PUBLIC,TypeScript,,2024-05-08,2026-05-19,inventoried,I86,,
homeplace-deploy,https://github.com/FraysaXII/homeplace-deploy,internal,System Owner,,,—,—,archived,HomePlace deploy experiment.,no,,,2026-05-19,System Owner,D-IH-86-AC,v3.1,experiment,,,PRIVATE,TypeScript,,2024-05-02,2026-05-19,inventoried,I86,,
feature-flag-apple-store,https://github.com/FraysaXII/feature-flag-apple-store,internal,System Owner,,,—,—,archived,Feature-flag + Apple Store experiment.,no,,,2026-05-19,System Owner,D-IH-86-AC,v3.1,experiment,,,PRIVATE,TypeScript,,2024-05-01,2026-05-19,inventoried,I86,,
nextjs-2,https://github.com/FraysaXII/nextjs-2,internal,System Owner,,,—,—,archived,Next.js v2 experiment.,no,,,2026-05-19,System Owner,D-IH-86-AC,v3.1,experiment,,,PRIVATE,TypeScript,,2024-04-30,2026-05-19,inventoried,I86,,
python-hello-world,https://github.com/FraysaXII/python-hello-world,internal,System Owner,,,—,—,archived,Python hello-world starter.,no,,,2026-05-19,System Owner,D-IH-86-AC,v3.1,experiment,,,PRIVATE,Python,,2024-04-09,2026-05-19,inventoried,I86,,
python-hello-world-2,https://github.com/FraysaXII/python-hello-world-2,internal,System Owner,,,—,—,archived,Python hello-world starter v2.,no,,,2026-05-19,System Owner,D-IH-86-AC,v3.1,experiment,,,PRIVATE,Python,,2024-04-09,2026-05-19,inventoried,I86,,
platforms-starter-kit,https://github.com/FraysaXII/platforms-starter-kit,reference,System Owner,,,—,—,reference,Platforms starter-kit template.,no,,,2026-05-19,System Owner,D-IH-86-AC,v3.1,template,,,PRIVATE,TypeScript,,2024-04-09,2026-05-19,inventoried,I86,,
nextjs-fastapi-starter,https://github.com/FraysaXII/nextjs-fastapi-starter,reference,System Owner,,,—,—,reference,Next.js + FastAPI starter template.,no,,,2026-05-19,System Owner,D-IH-86-AC,v3.1,template,,,PRIVATE,TypeScript,,2024-04-04,2026-05-19,inventoried,I86,,
fastapi-vercel,https://github.com/FraysaXII/fastapi-vercel,internal,System Owner,,,—,—,archived,FastAPI on Vercel experiment.,no,,,2026-05-19,System Owner,D-IH-86-AC,v3.1,experiment,,,PRIVATE,TypeScript,,2024-04-04,2026-05-19,inventoried,I86,,
crew-ai-f,https://github.com/FraysaXII/crew-ai-f,internal,AI Engineer,,,—,—,archived,CrewAI research exploration.,no,,,2026-05-19,AI Engineer,D-IH-86-AC,v3.1,research,,,PRIVATE,Python,,2024-04-04,2026-05-19,inventoried,I86,,
with-google-analytics,https://github.com/FraysaXII/with-google-analytics,internal,System Owner,,,—,—,archived,Google Analytics integration experiment.,no,,,2026-05-19,System Owner,D-IH-86-AC,v3.1,experiment,,,PRIVATE,JavaScript,,2024-03-18,2026-05-19,inventoried,I86,,
nextjs-openai-doc-search-starter,https://github.com/FraysaXII/nextjs-openai-doc-search-starter,reference,System Owner,,,—,—,reference,Next.js + OpenAI doc-search starter template.,no,,,2026-05-19,System Owner,D-IH-86-AC,v3.1,template,,,PRIVATE,TypeScript,,2024-03-16,2026-05-19,inventoried,I86,,
pinecone-vercel-ai,https://github.com/FraysaXII/pinecone-vercel-ai,internal,AI Engineer,,,—,—,archived,Pinecone + Vercel AI experiment.,no,,,2026-05-19,AI Engineer,D-IH-86-AC,v3.1,experiment,,,PRIVATE,TypeScript,,2024-03-16,2026-05-19,inventoried,I86,,
funk-coding,https://github.com/FraysaXII/funk-coding,internal,System Owner,,,—,—,archived,Funk coding experiment.,no,,,2026-05-19,System Owner,D-IH-86-AC,v3.1,experiment,,,PRIVATE,Python,,2024-02-18,2026-05-19,inventoried,I86,,
saas1,https://github.com/FraysaXII/saas1,internal,System Owner,,,—,—,archived,SaaS v1 experiment.,no,,,2026-05-19,System Owner,D-IH-86-AC,v3.1,experiment,,,PRIVATE,TypeScript,,2024-02-10,2026-05-19,inventoried,I86,,
susana-rag,https://github.com/FraysaXII/susana-rag,internal,AI Engineer,,,—,—,archived,Susana RAG research.,no,,,2026-05-19,AI Engineer,D-IH-86-AC,v3.1,research,,,PRIVATE,Python,,2024-01-14,2026-05-19,inventoried,I86,,
questions-2,https://github.com/FraysaXII/Questions-2,internal,AI Engineer,,,—,—,archived,Questions v2 experiment.,no,,,2026-05-19,AI Engineer,D-IH-86-AC,v3.1,experiment,,,PRIVATE,Python,,2023-10-29,2026-05-19,inventoried,I86,,
subscription-starter,https://github.com/FraysaXII/subscription-starter,internal,System Owner,,,—,—,archived,Subscription starter experiment.,no,,,2026-05-19,System Owner,D-IH-86-AC,v3.1,experiment,,,PRIVATE,TypeScript,,2023-10-28,2026-05-19,inventoried,I86,,
nextjs,https://github.com/FraysaXII/nextjs,internal,System Owner,,,—,—,archived,Next.js experiment.,no,,,2026-05-19,System Owner,D-IH-86-AC,v3.1,experiment,,,PRIVATE,TypeScript,,2023-10-23,2026-05-19,inventoried,I86,,
susana-autogen-search,https://github.com/FraysaXII/Susana-Autogen-Search,internal,AI Engineer,,,—,—,archived,Susana Autogen-Search research.,no,,,2026-05-19,AI Engineer,D-IH-86-AC,v3.1,research,,,PRIVATE,Jupyter,,2023-10-09,2026-05-19,inventoried,I86,,
susanatest001,https://github.com/FraysaXII/susanatest001,reference,AI Engineer,,,—,—,reference,Tracked upstream fork (Susana test 001).,no,,,2026-05-19,AI Engineer,D-IH-86-AC,v3.1,fork,,,PUBLIC,Python,,2023-07-20,2026-05-19,inventoried,I86,,
holistika-websitz-shopify-app,https://github.com/FraysaXII/holistika-websitz-shopify-app,client-delivery,PMO,,,—,—,active,Live customer-facing Shopify partnership app; promoted to governed per D-IH-86-AE.,no,,,2026-05-19,PMO,D-IH-86-AE,v3.1,production,,,PRIVATE,TypeScript,,2026-04-01,2026-05-19,governed,I86,,
agentuity,https://github.com/FraysaXII/agentuity,reference,AI Engineer,,,—,—,active,Agentic-platform comparison/exploration artifact; stale ~7 months per Lane F sweep.,no,,,2026-05-19,AI Engineer,D-IH-86-AF,v3.1,research,,,PRIVATE,,,2025-09-07,2026-05-19,inventoried,I86,,
