ref_id,entity_kind,class,is_public_entity,display_name,lens,sensitivity,program_id,role_owner,process_item_id,primary_link,notes,voice_register,language_preference,pronoun_register,distance_band,bridge_via,distance_assessed_date,related_party,stance,last_review_at,last_review_by,last_review_decision_id,methodology_version_at_review
GOI-ADV-ENTITY-2026,organisation,external_adviser,false,Third-party startup-certification adviser firm,entity_readiness,internal,PRJ-HOL-FOUNDING-2026,PMO,hol_opera_dtp_310,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/ENISA_EVIDENCE_PACK_HOLISTIKA_RESEARCH_2026-04.md,Seed row from PMO hub stakeholder index. Real firm name kept off-repo per redaction SOP. Backfilled distance_band=N1 (operator engages directly).,peer_consulting,es,usted,N1,,2026-04-30,,ally,2026-05-14,PMO,D-IH-71-CLOSURE,v3.0
GOI-BNK-INC-2026,organisation,banking_channel,false,Constitution-desk bank,incorporation,confidential,PRJ-HOL-FOUNDING-2026,Legal Counsel,thi_legal_dtp_302,,Seed row from PMO hub stakeholder index. Real bank name kept off-repo. Backfilled distance_band=N1 (operator engages directly).,formal_legal,es,usted,N1,,2026-04-30,,neutral,2026-05-14,Legal Counsel,D-IH-71-CLOSURE,v3.0
POI-BNK-DESK-LEAD-2026,person,banking_channel,false,Constitution-desk lead at GOI-BNK-INC-2026,incorporation,confidential,PRJ-HOL-FOUNDING-2026,Legal Counsel,thi_legal_dtp_302,,Operator-managed identity mapping kept off-repo. Backfilled distance_band=N1 (operator engages directly).,formal_legal,es,usted,N1,,2026-04-30,,neutral,2026-05-14,Legal Counsel,D-IH-71-CLOSURE,v3.0
POI-LEG-ENISA-LEAD-2026,person,external_adviser,false,ENISA-track adviser lead at GOI-ADV-ENTITY-2026,entity_readiness,internal,PRJ-HOL-FOUNDING-2026,Compliance,hol_peopl_dtp_302,,Operator-managed identity mapping kept off-repo. Backfilled distance_band=N1 (operator engages directly).,peer_consulting,es,tu,N1,,2026-04-30,,ally,2026-05-14,Compliance,D-IH-71-CLOSURE,v3.0
POI-LEG-FISCAL-LEAD-2026,person,external_adviser,false,Fiscal-track adviser at GOI-ADV-ENTITY-2026,fiscal_readiness,internal,PRJ-HOL-FOUNDING-2026,Business Controller,thi_finan_dtp_302,,Operator-managed identity mapping kept off-repo. Backfilled distance_band=N1 (operator engages directly).,formal_legal,es,usted,N1,,2026-04-30,,ally,2026-05-14,Business Controller,D-IH-71-CLOSURE,v3.0
POI-ADV-INTAKE-LEAD-2026,person,external_adviser,false,Initial intake contact at GOI-ADV-ENTITY-2026,entity_readiness,internal,PRJ-HOL-FOUNDING-2026,Compliance,hol_peopl_dtp_303,,Pre-kick-off intake-stage contact at adviser firm. Operator-managed identity mapping kept off-repo. Backfilled distance_band=N1 (operator engages directly).,peer_consulting,es,tu,N1,,2026-04-30,,ally,2026-05-14,Compliance,D-IH-71-CLOSURE,v3.0
GOI-PRT-EFA-2026,organisation,partner,false,Bilingual coaching collaborator firm bridging Holistika into a French enterprise procurement engagement,partner_engagement,internal,,Account Manager,hol_eng_prc_engagement_design_001,,Partner organisation that brings the SUEZ WeBuy first-customer opportunity to Holistika. Collaboration since October 2025 (Holistika is helping the partner lead organise her own business processes under a One-Woman-Army track in parallel). Real firm name (Creacion Et Joie SL trading as EFA) kept off-repo per redaction SOP. Co-branding posture is host=Holistika / guest=EFA Académie per BRAND_COBRANDING_PATTERN.md; the polarity may flip on future EFA-hosted projects. Operator engages directly with the partner lead (distance_band=N1).,peer_consulting,bilingual,tu,N1,,2026-05-10,,ally,2026-05-14,Account Manager,D-IH-71-CLOSURE,v3.0
POI-PRT-EFA-LEAD-2026,person,partner,false,Lead at GOI-PRT-EFA-2026 introducing Holistika to GOI-CUS-SUEZ-2026,partner_engagement,internal,,Account Manager,hol_eng_prc_engagement_design_001,,Bilingual partner lead currently working as a contract operator inside the SUEZ procure-to-pay process — two-hat posture: bridge / business-developer when introducing Holistika and recommending slide structure; incumbent operator when describing litige causes and volume cadence (per docs/wip/intelligence/2026-05-10-suez-webuy-procure-to-pay/efa-redacted.md §3). Will assume post-launch maintenance of the automated solution as her continuation of the operator role (proposal §3 Continuité opérationnelle posture A). Operator-managed identity mapping kept off-repo. Distance_band=N1 (operator engages directly).,peer_consulting,bilingual,tu,N1,,2026-05-10,,ally,2026-05-14,Account Manager,D-IH-71-CLOSURE,v3.0
GOI-CUS-SUEZ-2026,organisation,client_org,false,French enterprise customer (waste-and-resource management subsidiary running the WeBuy procure-to-pay system),customer_engagement,internal,,Project Manager,hol_eng_prc_proposal_001,,First-customer engagement candidate sourced via GOI-PRT-EFA-2026. Real entity name (SUEZ RV Materiel et Logistique) kept off-repo where rendered to non-cleared audiences; permitted in working-space access_level 5 surfaces. Distance_band=N2 (we reach SUEZ through the EFA partner bridge). Language preference is FR; encoded as empty in the schema enum and noted here.,formal_legal,,,N2,GOI-PRT-EFA-2026,2026-05-10,,neutral,2026-05-14,Project Manager,D-IH-71-CLOSURE,v3.0
POI-CUS-SUEZ-LEAD-2026,person,client_org,false,Procurement-operations lead at GOI-CUS-SUEZ-2026,customer_engagement,internal,,Project Manager,hol_eng_prc_discovery_questionnaire_001,,Primary SUEZ-side counterparty for the WeBuy CDC review meeting. Operator-managed identity mapping kept off-repo. Distance_band=N2 (we are bridged through POI-PRT-EFA-LEAD-2026). FR language; voice register formal_legal for an enterprise SaaS-grade engagement.,formal_legal,,,N2,POI-PRT-EFA-LEAD-2026,2026-05-10,,neutral,2026-05-14,Project Manager,D-IH-71-CLOSURE,v3.0
GOI-CUS-ASES-2026,organisation,client_org,false,Family-owned hospitality advisory SME,customer_engagement,confidential,,Project Manager,hol_eng_prc_discovery_questionnaire_001,docs/references/hlk/v3.0/Think Big/Clients/2026-asesoria-hosteleria/README.md,Related-party customer engagement (operator's family-owned SME). Holistika provides methodology + tooling support; counterparty is independent (not a Holistika sub-entity). SOC posture: related_party=true triggers disclosure in 00-internal/related-party-disclosure.md per P13.4 (D-W13-D). Distance_band=N1 (direct family access). No formal program track until engagement starts.,casual_internal,es,tu,N1,,2026-05-11,true,ally,2026-05-14,Project Manager,D-IH-71-CLOSURE,v3.0
GOI-LEG-CONST-2026,organisation,legal_counsel_external,false,Spanish constitution-desk legal counsel firm,incorporation,confidential,PRJ-HOL-FOUNDING-2026,Legal Counsel,thi_legal_dtp_302,,"I70 P8.5 (D-IH-70-AC) — operator-ratified split off from generic external_adviser. This row captures the Spanish legal-track adviser (notary + constitution + ongoing legal advisory for SL incorporation), distinct from GOI-ADV-ENTITY-2026 which handles the certification-track / business-readiness side. Real firm name kept off-repo per redaction SOP. Operator engages directly (distance_band=N1).",formal_legal,es,usted,N1,,2026-05-13,,ally,2026-05-14,Legal Counsel,D-IH-71-CLOSURE,v3.0
GOI-INV-ENISA-2026,organisation,investor,true,ENISA — Empresa Nacional de Innovación SA,capital_readiness,internal,PRJ-HOL-FOUNDING-2026,CFO,hol_peopl_dtp_302,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/ENISA_EVIDENCE_PACK_HOLISTIKA_RESEARCH_2026-04.md,"I70 P8.5 (D-IH-70-AC) — public Spanish state-backed startup capital provider (participative loans). Distinct relationship from GOI-ADV-ENTITY-2026 (the third-party adviser firm that interfaces with ENISA on certification track). Public entity → real name allowed. Distance_band=N2 (bridged through GOI-ADV-ENTITY-2026 for current readiness pack; will collapse to N1 once direct ENISA correspondence begins). Stance=neutral (we are a candidate; ENISA is a public lender bound by uniform criteria — neutral until a loan is approved or denied, after which posture re-assesses).",investor_aspirational,es,usted,N2,GOI-ADV-ENTITY-2026,2026-05-13,,neutral,2026-05-14,CFO,D-IH-71-CLOSURE,v3.0
GOI-SUP-SHGPU-2026,organisation,supplier_infrastructure,false,GPU/cloud supplier candidate (ShadowGPU branded service),infrastructure_supply,internal,,System Owner,env_tech_dtp_313,,I70 P8.5 (D-IH-70-AC) — GPU/cloud supplier candidate per 27-02-2026 meeting transcript (temp-context corpus). Cobranding/integration potential discussed; not yet contracted. Distance_band=N1 (direct meeting). Stance=neutral pending commercial-terms ratification (could become ally if cobranding lands; could become enemy if pricing turns predatory per v2.7 doctrine). Cross-link to SOURCING_REGISTER.csv when first paid invoice lands.,peer_consulting,en,,N1,,2026-02-27,,neutral,2026-05-14,System Owner,D-IH-71-CLOSURE,v3.0
