source_id,prong,topic_cluster,source_title_or_owner,url,format,source_category,source_level,holistika_reliability_score,external_perceived_credibility_score,control_confidence_level,decision_use,notes
SRC-OPS-REUSE-001,A,internal_area_doctrine,process_list.csv processes-per-area,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/process_list.csv,dataset,CORPINT,5.1,5,2,Safe,def-area,AREA-04 source; executable rows per area
SRC-OPS-REUSE-002,A,internal_area_doctrine,PRECEDENCE.md asset classification,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/PRECEDENCE.md,internal_canonical,CORPINT,5.2,5,3,Safe,def-components,AREA-07 canonical/mirror/reference precedence
SRC-OPS-REUSE-003,A,internal_area_doctrine,HLK_ERP_ARCHITECTURE.md,docs/references/hlk/v3.0/Admin/O5-1/Operations/PMO/canonicals/HLK_ERP_ARCHITECTURE.md,internal_canonical,CORPINT,5.2,5,3,Safe,def-area,Operations area surface
SRC-OPS-REUSE-004,A,internal_area_doctrine,WIP_DASHBOARD.md status taxonomy,docs/wip/planning/WIP_DASHBOARD.md,report,CORPINT,5.1,4,2,Safe,def-complete,8-state lifecycle taxonomy (closed/active/continuous/etc)
SRC-OPS-REUSE-005,C,external_domain_boundaries,Bounded Context (Martin Fowler),https://martinfowler.com/bliki/BoundedContext.html,article,OSINT,2.1,5,5,Euclid,def-area,Model boundary; multiple canonical models; anti-corruption layer
SRC-OPS-REUSE-006,C,external_domain_boundaries,Monolith to data mesh (Fowler/Dehghani),https://martinfowler.com/articles/data-monolith-to-mesh.html,article,OSINT,2.1,5,5,Euclid,def-area,Domain data as product; product thinking applied to domains
SRC-OPS-REUSE-007,D,external_completeness_value,GQM (Wikipedia),https://en.wikipedia.org/wiki/GQM,webpage,OSINT,1.3,4,4,Euclid,def-complete,3 levels conceptual/operational/quantitative; GQM+Strategies
SRC-OPS-REUSE-008,C,external_functional_taxonomy,Process classification (ScienceDirect),https://www.sciencedirect.com/topics/computer-science/process-classification,article,OSINT,3.2,4,4,Euclid,def-area,Operating vs management/support split; >1000 processes hierarchical
SRC-OPS-REUSE-009,C,external_functional_taxonomy,BizOps before RevOps or beside it (Buteau),https://www.antoinebuteau.com/bizops-series-5-bizops-before-revops-or-beside-it/,article,OSINT,2.1,4,3,Euclid,def-area,BizOps = company-wide chassis; RevOps = revenue child; scope separation
SRC-OPS-REUSE-010,C,external_functional_taxonomy,Modern ops stack BizOps RevOps ProductOps (Buteau),https://www.antoinebuteau.com/bizops-series-10-the-modern-ops-stack-bizops-revops-productops-chief-of-staff/,article,OSINT,2.1,4,3,Euclid,def-area,Functional vs revenue vs company-wide ops scopes; maturity sequence
SRC-OPS-REUSE-011,C,external_functional_taxonomy,RevOps vs Business Operations (Hidayat Rizvi),https://hidayatrizvi.com/revenue-operations-vs-business-operations/,article,OSINT,2.1,3,3,Euclid,def-area,RevOps = sub-function of BizOps; Operations bundles HR/finance/IT/admin
SRC-OPS-REUSE-012,C,external_functional_taxonomy,RevOps definition and architecture (Hypha),https://www.hyphadev.io/blog/what-is-revenue-operations-revops,article,OSINT,4.1,4,3,Euclid,def-area,RevOps 4 pillars people/process/tech/data; reports into BizOps
SRC-OPS-REUSE-013,C,external_ops_frameworks,PMBOK 7th edition principles + performance domains (CPMP),https://cpmp.us/pmbok7/,article,OSINT,3.2,4,4,Euclid,def-area,Shift from process-groups to principles + 8 outcome-focused performance domains
SRC-OPS-REUSE-014,C,external_ops_frameworks,PMBOK Guide 7th vs 8th edition (PM Study Circle),https://pmstudycircle.com/pmbok-guide-7th-vs-8th-edition/,article,OSINT,2.1,4,3,Euclid,def-area,PMBOK 8 = 6 principles + 7 domains (Governance/Scope/Schedule/Finance/Stakeholders/Resources/Risk) + 5 focus areas
SRC-OPS-REUSE-015,C,external_ops_frameworks,PMBOK Guide standard (PMI),https://www.pmi.org/standards/pmbok,webpage,OSINT,3.3,5,5,Safe,def-area,The operator-cited Ops methodology; PMO + governance + delivery
SRC-OPS-REUSE-016,C,external_ops_frameworks,ITIL 4 project management practice (Axelos),https://uat2.axelos.com/resource-hub/practice/project-management-itil-4-practice-guide,report,OSINT,3.3,5,5,Safe,def-area,Projects vs BAU operations; PPM contributes to value streams within SVS
SRC-OPS-REUSE-017,C,external_ops_frameworks,Operations management vs project management,https://projectmanagementformula.com/operations-management-vs-project-management/,article,OSINT,2.1,4,3,Euclid,def-area,Projects end / operations continue; operations = ongoing tangible delivery
SRC-OPS-REUSE-018,A,revops_mktops_harmonization,REVOPS_AREA_CHARTER.md (Holistika vault),docs/references/hlk/v3.0/Admin/O5-1/Operations/RevOps/canonicals/REVOPS_AREA_CHARTER.md,internal_canonical,CORPINT,5.1,5,3,Safe,RevOps vs MKTOPS org placement — area boundary + DAMA author role,Value-mapping spine; Operations area; owns 8 adapter registries; does NOT own marketing execution.
SRC-OPS-REUSE-019,A,revops_mktops_harmonization,MKTOPS_DISCIPLINE.md (Holistika vault),docs/references/hlk/v3.0/Admin/O5-1/People/canonicals/MKTOPS_DISCIPLINE.md,internal_canonical,CORPINT,5.1,5,3,Safe,RevOps vs MKTOPS — Quality Fabric specialty vs area charter,7-dimension campaign quality bar MKT-01..07; Marketing/Reach primary; RevOps co-owner per D-IH-86-EY.
SRC-OPS-REUSE-020,A,revops_mktops_harmonization,source-grounding-post-handshake-2026-05-26.md,docs/references/hlk/v3.0/Think Big/Clients/2026-suez-webuy/00-internal/source-grounding-post-handshake-2026-05-26.md,internal_canonical,CORPINT,5.1,5,2,Safe,Microsoft demo factory — Holistika tenant build plan,Operator builds on own Microsoft tenant; anonymized data; customer pack = delivery language.
SRC-OPS-REUSE-021,A,revops_mktops_harmonization,RevenueTools — MOps vs RevOps GTM stack,https://www.revenuetools.io/blog/marketing-ops-vs-revops,article,OSINT,2.1,4,4,Safe,External org model options (embedded MOps vs unified RevOps),Model 2 embedded specialist within unified RevOps gaining traction at growth stage.
SRC-OPS-REUSE-022,A,revops_mktops_harmonization,Landbase — RevOps vs Marketing Operations,https://www.landbase.com/blog/revops-vs-marketing-operations,article,OSINT,2.1,4,4,Safe,External scope distinction + failure mode of RevOps without MOps foundations,RevOps without solid Marketing Ops execution layer often fails.
SRC-OPS-REUSE-023,B,dama_multi_area_bi,BI_CONSUMER_REGISTRY.csv (I93 P5b seed),docs/references/hlk/v3.0/Admin/O5-1/Data/Governance/canonicals/dimensions/BI_CONSUMER_REGISTRY.csv,internal_canonical,CORPINT,5.1,5,3,Safe,Current BI consumer model — extend to all areas,13 rows; needs area_id dimension + Marketing/RevOps/Meta/Google seeds.
SRC-OPS-REUSE-024,C,sop_method_escalation,SOP-ENG_ESTIMATION_DISCIPLINE_001 §3 method library,docs/references/hlk/v3.0/Admin/O5-1/Operations/Engagement/canonicals/SOP-ENG_ESTIMATION_DISCIPLINE_001.md,internal_canonical,CORPINT,5.1,5,4,Safe,Worked example: methods inside one SOP + Pydantic registry,12 method_id rows; paired akos/engagement_estimation.py; drift test.
SRC-OPS-REUSE-025,C,sop_method_escalation,akos-executable-process-catalog.mdc RULE 1,docs/references/hlk/v3.0/.cursor/rules/akos-executable-process-catalog.mdc,internal_canonical,CORPINT,5.1,5,3,Safe,Human + AIC + automation triple path per process,AC-HUMAN and AC-AUTOMATION both required; maps to method rows.
SRC-OPS-REUSE-026,C,sop_method_escalation,Supabase Analytics Buckets docs,https://supabase.com/docs/guides/storage/analytics/introduction,article,OSINT,2.1,4,4,Euclid,Operator-activated OLAP layer posture,Public Alpha label vs operator production use with customer revenue funding production path.
SRC-OPS-INT-027,A,ops_vault_engagement,SOP-ENG_DISCOVERY_QUESTIONNAIRE_001.md,docs/references/hlk/v3.0/Admin/O5-1/Operations/Engagement/canonicals/SOP-ENG_DISCOVERY_QUESTIONNAIRE_001.md,internal_canonical,CORPINT,5.1,5,2,Safe,def-area,Operations vault asset; sub-area=Engagement
SRC-OPS-INT-028,A,ops_vault_engagement,SOP-ENG_ESTIMATION_DISCIPLINE_001.md,docs/references/hlk/v3.0/Admin/O5-1/Operations/Engagement/canonicals/SOP-ENG_ESTIMATION_DISCIPLINE_001.md,internal_canonical,CORPINT,5.1,5,2,Safe,def-area,Operations vault asset; sub-area=Engagement
SRC-OPS-INT-029,A,ops_vault_engagement,SOP-ENG_ENGAGEMENT_DESIGN_001.md,docs/references/hlk/v3.0/Admin/O5-1/Operations/Engagement/SOP-ENG_ENGAGEMENT_DESIGN_001.md,internal_canonical,CORPINT,5.1,5,2,Safe,def-area,Operations vault asset; sub-area=Engagement
SRC-OPS-INT-030,A,ops_vault_engagement,SOP-ENG_PROPOSAL_001.md,docs/references/hlk/v3.0/Admin/O5-1/Operations/Engagement/SOP-ENG_PROPOSAL_001.md,internal_canonical,CORPINT,5.1,5,2,Safe,def-area,Operations vault asset; sub-area=Engagement
SRC-OPS-INT-031,A,ops_vault_intelligenceops,SOP-IO_COUNTERPARTY_BASELINE_ASSESSMENT_001.md,docs/references/hlk/v3.0/Admin/O5-1/Operations/IntelligenceOps/SOP-IO_COUNTERPARTY_BASELINE_ASSESSMENT_001.md,internal_canonical,CORPINT,5.1,5,2,Safe,def-area,Operations vault asset; sub-area=IntelligenceOps
SRC-OPS-INT-032,A,ops_vault_intelligenceops,SOP-IO_RELIABILITY_GRADING_001.md,docs/references/hlk/v3.0/Admin/O5-1/Operations/IntelligenceOps/SOP-IO_RELIABILITY_GRADING_001.md,internal_canonical,CORPINT,5.1,5,2,Safe,def-area,Operations vault asset; sub-area=IntelligenceOps
SRC-OPS-INT-033,A,ops_vault_root,OPERATIONS_AREA_CHARTER.md,docs/references/hlk/v3.0/Admin/O5-1/Operations/OPERATIONS_AREA_CHARTER.md,internal_canonical,CORPINT,5.1,5,2,Safe,def-area,Operations vault asset; sub-area=root
SRC-OPS-INT-034,A,ops_vault_root,OPERATIONS_DELIVERY_DISCIPLINE.md,docs/references/hlk/v3.0/Admin/O5-1/Operations/OPERATIONS_DELIVERY_DISCIPLINE.md,internal_canonical,CORPINT,5.1,5,2,Safe,def-area,Operations vault asset; sub-area=root
SRC-OPS-INT-035,A,ops_vault_pmo,BOOTSTRAPPING_PLAN.md,docs/references/hlk/v3.0/Admin/O5-1/Operations/PMO/canonicals/business-strategy/BOOTSTRAPPING_PLAN.md,internal_canonical,CORPINT,5.1,5,2,Safe,def-area,Operations vault asset; sub-area=PMO
SRC-OPS-INT-036,A,ops_vault_pmo,CHANNEL_STRATEGY.md,docs/references/hlk/v3.0/Admin/O5-1/Operations/PMO/canonicals/business-strategy/CHANNEL_STRATEGY.md,internal_canonical,CORPINT,5.1,5,2,Safe,def-area,Operations vault asset; sub-area=PMO
SRC-OPS-INT-037,A,ops_vault_pmo,COMPETITIVE_LANDSCAPE.md,docs/references/hlk/v3.0/Admin/O5-1/Operations/PMO/canonicals/business-strategy/COMPETITIVE_LANDSCAPE.md,internal_canonical,CORPINT,5.1,5,2,Safe,def-area,Operations vault asset; sub-area=PMO
SRC-OPS-INT-038,A,ops_vault_pmo,GOVERNANCE_MOAT.md,docs/references/hlk/v3.0/Admin/O5-1/Operations/PMO/canonicals/business-strategy/GOVERNANCE_MOAT.md,internal_canonical,CORPINT,5.1,5,2,Safe,def-area,Operations vault asset; sub-area=PMO
SRC-OPS-INT-039,A,ops_vault_pmo,INVESTMENT_THESIS.md,docs/references/hlk/v3.0/Admin/O5-1/Operations/PMO/canonicals/business-strategy/INVESTMENT_THESIS.md,internal_canonical,CORPINT,5.1,5,2,Safe,def-area,Operations vault asset; sub-area=PMO
SRC-OPS-INT-040,A,ops_vault_pmo,MADEIRA_PLATFORM.md,docs/references/hlk/v3.0/Admin/O5-1/Operations/PMO/canonicals/business-strategy/MADEIRA_PLATFORM.md,internal_canonical,CORPINT,5.1,5,2,Safe,def-area,Operations vault asset; sub-area=PMO
SRC-OPS-INT-041,A,ops_vault_pmo,MARKET_THESIS.md,docs/references/hlk/v3.0/Admin/O5-1/Operations/PMO/canonicals/business-strategy/MARKET_THESIS.md,internal_canonical,CORPINT,5.1,5,2,Safe,def-area,Operations vault asset; sub-area=PMO
SRC-OPS-INT-042,A,ops_vault_pmo,PRICING_MODEL.md,docs/references/hlk/v3.0/Admin/O5-1/Operations/PMO/canonicals/business-strategy/PRICING_MODEL.md,internal_canonical,CORPINT,5.1,5,2,Safe,def-area,Operations vault asset; sub-area=PMO
SRC-OPS-INT-043,A,ops_vault_pmo,README.md,docs/references/hlk/v3.0/Admin/O5-1/Operations/PMO/canonicals/business-strategy/README.md,internal_canonical,CORPINT,5.1,5,2,Safe,def-area,Operations vault asset; sub-area=PMO
SRC-OPS-INT-044,A,ops_vault_pmo,SALES_MOTION.md,docs/references/hlk/v3.0/Admin/O5-1/Operations/PMO/canonicals/business-strategy/SALES_MOTION.md,internal_canonical,CORPINT,5.1,5,2,Safe,def-area,Operations vault asset; sub-area=PMO
SRC-OPS-INT-045,A,ops_vault_pmo,STRATEGY_DECISION_LOG.md,docs/references/hlk/v3.0/Admin/O5-1/Operations/PMO/canonicals/business-strategy/STRATEGY_DECISION_LOG.md,internal_canonical,CORPINT,5.1,5,2,Safe,def-area,Operations vault asset; sub-area=PMO
SRC-OPS-INT-046,A,ops_vault_pmo,UNIT_ECONOMICS.md,docs/references/hlk/v3.0/Admin/O5-1/Operations/PMO/canonicals/business-strategy/UNIT_ECONOMICS.md,internal_canonical,CORPINT,5.1,5,2,Safe,def-area,Operations vault asset; sub-area=PMO
SRC-OPS-INT-047,A,ops_vault_pmo,HLK_ERP_ARCHITECTURE.md,docs/references/hlk/v3.0/Admin/O5-1/Operations/PMO/canonicals/HLK_ERP_ARCHITECTURE.md,internal_canonical,CORPINT,5.1,5,2,Safe,def-area,Operations vault asset; sub-area=PMO
SRC-OPS-INT-048,A,ops_vault_pmo,KB_HUMAN_READABILITY_CHARTER.md,docs/references/hlk/v3.0/Admin/O5-1/Operations/PMO/canonicals/KB_HUMAN_READABILITY_CHARTER.md,internal_canonical,CORPINT,5.1,5,2,Safe,def-area,Operations vault asset; sub-area=PMO
SRC-OPS-INT-049,A,ops_vault_pmo,KM_CHANNEL_VALUE_NARRATIVE.md,docs/references/hlk/v3.0/Admin/O5-1/Operations/PMO/canonicals/KM_CHANNEL_VALUE_NARRATIVE.md,internal_canonical,CORPINT,5.1,5,2,Safe,def-area,Operations vault asset; sub-area=PMO
SRC-OPS-INT-050,A,ops_vault_pmo,OPERATIONAL_COHESION_DOCTRINE.md,docs/references/hlk/v3.0/Admin/O5-1/Operations/PMO/canonicals/OPERATIONAL_COHESION_DOCTRINE.md,internal_canonical,CORPINT,5.1,5,2,Safe,def-area,Operations vault asset; sub-area=PMO
SRC-OPS-INT-051,A,ops_vault_pmo,SOP-PMO_INITIATIVE_PROGRAM_ANCHORS_001.md,docs/references/hlk/v3.0/Admin/O5-1/Operations/PMO/canonicals/SOP-PMO_INITIATIVE_PROGRAM_ANCHORS_001.md,internal_canonical,CORPINT,5.1,5,2,Safe,def-area,Operations vault asset; sub-area=PMO
SRC-OPS-INT-052,A,ops_vault_pmo,SOP-PMO_VAULT_PROMOTION_GATE_001.md,docs/references/hlk/v3.0/Admin/O5-1/Operations/PMO/canonicals/SOP-PMO_VAULT_PROMOTION_GATE_001.md,internal_canonical,CORPINT,5.1,5,2,Safe,def-area,Operations vault asset; sub-area=PMO
SRC-OPS-INT-053,A,ops_vault_pmo,TOPIC_PMO_CLIENT_DELIVERY_HUB.md,docs/references/hlk/v3.0/Admin/O5-1/Operations/PMO/canonicals/TOPIC_PMO_CLIENT_DELIVERY_HUB.md,internal_canonical,CORPINT,5.1,5,2,Safe,def-area,Operations vault asset; sub-area=PMO
SRC-OPS-INT-054,A,ops_vault_pmo,WORKSPACE_BLUEPRINT_HOLISTIKA.md,docs/references/hlk/v3.0/Admin/O5-1/Operations/PMO/canonicals/WORKSPACE_BLUEPRINT_HOLISTIKA.md,internal_canonical,CORPINT,5.1,5,2,Safe,def-area,Operations vault asset; sub-area=PMO
SRC-OPS-INT-055,A,ops_vault_pmo,EXTERNAL_ADVISER_ROUTER.md,docs/references/hlk/v3.0/Admin/O5-1/Operations/PMO/EXTERNAL_ADVISER_ROUTER.md,internal_canonical,CORPINT,5.1,5,2,Safe,def-area,Operations vault asset; sub-area=PMO
SRC-OPS-INT-056,A,ops_vault_pmo,HOLISTIK_OPS_DISCOVERY.md,docs/references/hlk/v3.0/Admin/O5-1/Operations/PMO/HOLISTIK_OPS_DISCOVERY.md,internal_canonical,CORPINT,5.1,5,2,Safe,def-area,Operations vault asset; sub-area=PMO
SRC-OPS-INT-057,A,ops_vault_pmo,README.md,docs/references/hlk/v3.0/Admin/O5-1/Operations/PMO/imports/README.md,internal_canonical,CORPINT,5.1,5,2,Safe,def-area,Operations vault asset; sub-area=PMO
SRC-OPS-INT-058,A,ops_vault_pmo,trello_board_67697e19_archive_slice.json,docs/references/hlk/v3.0/Admin/O5-1/Operations/PMO/imports/trello_board_67697e19_archive_slice.json,internal_canonical,CORPINT,5.1,5,2,Safe,def-area,Operations vault asset; sub-area=PMO
SRC-OPS-INT-059,A,ops_vault_pmo,trello_board_67697e19_full_formatted.json,docs/references/hlk/v3.0/Admin/O5-1/Operations/PMO/imports/trello_board_67697e19_full_formatted.json,internal_canonical,CORPINT,5.1,5,2,Safe,def-area,Operations vault asset; sub-area=PMO
SRC-OPS-INT-060,A,ops_vault_pmo,trello_board_67697e19_primary.json,docs/references/hlk/v3.0/Admin/O5-1/Operations/PMO/imports/trello_board_67697e19_primary.json,internal_canonical,CORPINT,5.1,5,2,Safe,def-area,Operations vault asset; sub-area=PMO
SRC-OPS-INT-061,A,ops_vault_pmo,README.md,docs/references/hlk/v3.0/Admin/O5-1/Operations/PMO/programs/PRJ-HOL-FOUNDING-2026/README.md,internal_canonical,CORPINT,5.1,5,2,Safe,def-area,Operations vault asset; sub-area=PMO
SRC-OPS-INT-062,A,ops_vault_pmo,README.md,docs/references/hlk/v3.0/Admin/O5-1/Operations/PMO/programs/PRJ-HOL-KIR-2026/README.md,internal_canonical,CORPINT,5.1,5,2,Safe,def-area,Operations vault asset; sub-area=PMO
SRC-OPS-INT-063,A,ops_vault_pmo,RESEARCH_BACKLOG_TRELLO_REGISTRY.md,docs/references/hlk/v3.0/Admin/O5-1/Operations/PMO/RESEARCH_BACKLOG_TRELLO_REGISTRY.md,internal_canonical,CORPINT,5.1,5,2,Safe,def-area,Operations vault asset; sub-area=PMO
SRC-OPS-INT-064,A,ops_vault_pmo,SOP-EXTERNAL_ADVISER_ENGAGEMENT_001.md,docs/references/hlk/v3.0/Admin/O5-1/Operations/PMO/SOP-EXTERNAL_ADVISER_ENGAGEMENT_001.md,internal_canonical,CORPINT,5.1,5,2,Safe,def-area,Operations vault asset; sub-area=PMO
SRC-OPS-INT-065,A,ops_vault_pmo,SOP-GTM_WEEKLY_METRICS_REVIEW_001.md,docs/references/hlk/v3.0/Admin/O5-1/Operations/PMO/SOP-GTM_WEEKLY_METRICS_REVIEW_001.md,internal_canonical,CORPINT,5.1,5,2,Safe,def-area,Operations vault asset; sub-area=PMO
SRC-OPS-INT-066,A,ops_vault_pmo,SOP-INITIATIVE_GOVERNANCE_001.md,docs/references/hlk/v3.0/Admin/O5-1/Operations/PMO/SOP-INITIATIVE_GOVERNANCE_001.md,internal_canonical,CORPINT,5.1,5,2,Safe,def-area,Operations vault asset; sub-area=PMO
SRC-OPS-INT-067,A,ops_vault_pmo,SOP-INITIATIVE_PROCESS_HARMONISATION_001.md,docs/references/hlk/v3.0/Admin/O5-1/Operations/PMO/SOP-INITIATIVE_PROCESS_HARMONISATION_001.md,internal_canonical,CORPINT,5.1,5,2,Safe,def-area,Operations vault asset; sub-area=PMO
SRC-OPS-INT-068,A,ops_vault_pmo,SOP-PMO_PROCESS_LIST_CSV_MAINTENANCE_001.md,docs/references/hlk/v3.0/Admin/O5-1/Operations/PMO/SOP-PMO_PROCESS_LIST_CSV_MAINTENANCE_001.md,internal_canonical,CORPINT,5.1,5,2,Safe,def-area,Operations vault asset; sub-area=PMO
SRC-OPS-INT-069,A,ops_vault_pmo,TEMPLATE_OUTBOUND_BRIEF_en.md,docs/references/hlk/v3.0/Admin/O5-1/Operations/PMO/sourcing-briefs/TEMPLATE_OUTBOUND_BRIEF_en.md,internal_canonical,CORPINT,5.1,5,2,Safe,def-area,Operations vault asset; sub-area=PMO
SRC-OPS-INT-070,A,ops_vault_pmo,TEMPLATE_OUTBOUND_BRIEF_es.md,docs/references/hlk/v3.0/Admin/O5-1/Operations/PMO/sourcing-briefs/TEMPLATE_OUTBOUND_BRIEF_es.md,internal_canonical,CORPINT,5.1,5,2,Safe,def-area,Operations vault asset; sub-area=PMO
SRC-OPS-INT-071,A,ops_vault_pmo,TEMPLATE_OUTBOUND_BRIEF_fr.md,docs/references/hlk/v3.0/Admin/O5-1/Operations/PMO/sourcing-briefs/TEMPLATE_OUTBOUND_BRIEF_fr.md,internal_canonical,CORPINT,5.1,5,2,Safe,def-area,Operations vault asset; sub-area=PMO
SRC-OPS-INT-072,A,ops_vault_root,README.md,docs/references/hlk/v3.0/Admin/O5-1/Operations/README.md,internal_canonical,CORPINT,5.1,5,2,Safe,def-area,Operations vault asset; sub-area=root
